# XV6-RISCV Comprehensive Memory Analysis Report
# Maps every kernel address to exact source file and line number
# Generated from: kernel/kernel

=== MEMORY LAYOUT WITH SOURCE ATTRIBUTION ===
Address            Size    Symbol           Source Location
0x0000000080007770    176 B syscalls         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/syscall.c:107
0x000000008000a200      4 B first.1          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:521
0x000000008000a204      4 B nextpid          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:15
0x000000008000a210    ? B   _GLOBAL_OFFSET_TABLE unknown
0x000000008000a230      4 B panicked         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:19
0x000000008000a234      4 B panicking        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:18
0x000000008000a238      4 B tx_chan          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:43
0x000000008000a23c      4 B tx_busy          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:42
0x000000008000a240      4 B started          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/main.c:7
0x000000008000a248      8 B kernel_pagetable /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:14
0x000000008000a250      8 B initproc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:13
0x000000008000a258      4 B ticks            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/trap.c:10
0x000000008000a260  32768 B stack0           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/start.c:25
0x0000000080012260    168 B cons             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:54
